GenBank AC	UniProtKB AC
AF010227	Q9Y6Q9
AL136920	Q9H074
BC005230	P14927
M26700	P14927
D89092	O14979
D89678	O14979
BC001124	P84243
AF159570	O15539
M13577	P02686
AF015040	P49757
AL050264	O95990
AY009128	Q9H1K1
AL022313	A0A0D9SGB5
AL022313	B0QYA2
AL022313	B0QYA4
AL022313	B0QYA5
AL022313	B0QYA6
AL022313	B0QYA8
AL022313	F8WDN2
AL022313	M0QXH0
AL022313	O15371
AL022313	Q8IWF2
AL022313	Q99757
AL022313	Q9Y698
AF276920	Q99757
AF152318	Q9Y5H4
AF118652	O76003
AF018081	P39060
U34690	P31146
AF089868	P43121
BC001267	P20339
AL049597	A0A087WW40
AL049597	Q9Y371
AF263293	Q9Y371
AF061730	Q9HC38
K02920	P04062
AL078459	B4DYP1
AL078459	O94760
J03620	P09622
U62136	Q15819
U61276	P78504
U73936	P78504
BC001327	Q12894
M92934	P29279
AF019214	O14790
BC001049	Q92890
BC000009	Q9NX24
U19179	Q15788
AF053453	O43657
U84895	O43657
AL050259	O15211
BC004155	Q99942
BC001971	P46527
AF288679	Q9P0W2
AF133425	O60635
AL117566	Q8TBC4
M25079	P68871
U79458	Q969T9
AF141347	Q71U36
M64497	P24468
BC005127	Q99541
BC000576	P09417
U70451	Q99836
L42612	P04259
D63879	Q15020
AF000974	Q15654
BC003686	O00161
U55936	O00161
AL136872	Q9H0A8
BC000524	P62753
AF289489	Q12797
BC000263	Q14694
AF083033	O75569
L42024	P30475
BC002775	P62253
AF005422	P54105
AF068266	O43439
AB000888	O14494
BC001167	P28702
U94831	O15321
M31523	P15923
AF234997	O14907
BC001595	P49902
AY029208	P12110
AF011793	O60884
BC004361	Q99418
AB018580	P42330
U82756	O43172
BC002976	P49447
AF083208	Q9NY61
U68567	O00754
AF016004	Q13491
AF219116	Q9BY32
U30872	P49454
AF088867	O95994
BC000978	Q2TAL8
AK001135	B3KM47
BC002873	Q9BU61
AF038391	Q92620
BC003164	Q96N66
U49245	P53611
AL136653	Q9NTK1
AF073310	Q9Y4H2
M23114	P16615
BC002809	Q01658
BC004490	P01100
AF051782	O60610
BC002654	Q9BUF5
BC000166	Q92993
M24779	P11309
BC005334	P41208
AF250226	O43306
BC000388	O15213
BC004291	Q9BT88
L01639	P61073
AF001690	O43909
BC003600	P61968
BC001364	O75396
AF059752	Q9H3L2
Z24725	Q96AC1
AF132818	Q13887
AB030824	Q13887
BC002511	P16152
BC004817	Q01844
L11669	Q14728
BC000464	Q9Y484
AF098865	Q9UNR6
L03411	P18615
L47125	P51654
BC000296	Q9H1P3
BC003674	O43678
U72069	Q92973
U42349	Q13454
BC002799	Q9UPN7
AF135266	O60356
BC004191	Q9BTE1
U72514	Q92979
AL031600	A6NI56
AL031600	B7ZBA8
AL031600	H0Y2M6
AL031600	H3BNG8
AL031600	H3BS06
AL031600	I3L470
AL031600	P51798
AL389886	H0Y544
AL389886	Q9UGH3
AF164142	Q9UGH3
M55643	P19838
AB041926	Q8N4C8
AF208967	Q9GZU2
AB014606	O43896
AF261091	Q9UG63
BC001661	Q9UG63
AL136713	Q9H3K2
AF131820	Q9H3K2
BC000961	O15121
BC004949	Q9BQE3
U18937	P49590
AF037261	O60504
D87454	Q6PID8
AF277177	Q9BZS7
AF020043	Q9UQE7
BC000329	P31947
BC002669	P10588
BC000389	O14817
AF054841	O14817
BC001650	Q86U44
AB040120	Q9C0K1
AF165513	Q9NRW7
L25541	Q13751
AB032251	Q12830
AF045451	Q13506
BC002675	Q9BUE6
AF015593	Q13286
AF162769	P35754
L27624	P48307
BC000245	Q15738
U58856	O00572
M95541	P20020
AF309082	Q9BZL6
AF007162	P02511
AF104857	Q9UKI2
AL136842	Q9UKI2
BC001283	O00712
AL022726	A0A087WXF2
AL022726	P47928
U16153	P47928
BC001281	O14763
AF016266	O14763
AF136972	O75688
AF114488	Q15811
BC000022	Q13356
BC002888	Q8NC96
M36532	P00918
U37689	P52434
BC005270	O43181
AF087853	O75293
AF078077	O75293
AB014540	Q9UH65
BC002461	Q12982
D90427	P25311
U25804	P49662
D87461	Q92843
U65585	Q9TQE1
AB044661	Q9HCN4
AK024258	B3KNB9
BC001465	Q9Y450
AF008442	O15160
AF033861	O60266
AF227968	Q9NRF2
AF081567	O43422
U94829	O15492
D84454	P78381
BC000587	Q9BW72
D55674	Q14103
BC003525	P61244
AB018265	O75385
BC002383	O00233
U56085	Q15269
AF063020	O75475
U03494	Q12800
U76248	O43255
S73498	Q16222
AF080158	O14920
BC002449	Q9BUP0
BC002827	P67936
BC003167	Q9BTU6
AF055376	O75444
U63139	Q92878
AL157493	Q13227
BC002690	P02533
AB014600	O75182
BC002794	Q92956
AB000889	O14495
AB030655	Q96TF5
AF109161	Q99967
AF118094	Q15544
L34598	Q01196
D43968	Q01196
BC004153	P57723
U46837	Q13503
U65932	Q16610
M22865	P00167
AB002559	O00184
AF233336	P34913
M63310	P12429
AB000462	P78314
BC003179	Q13021
D21089	Q01831
AF274949	Q15651
AF241785	Q9H7U1
AF146074	O15440
BC004434	Q15428
U93867	Q9BUI4
BC003637	P35638
AL136616	O94903
M90657	P30408
BC000927	P51003
M15887	P07108
AF013168	Q92574
AF061729	O94777
L35594	Q13822
AF047695	O60573
BC002508	O95671
M80927	P36222
BC000147	P23368
BC002649	P16403
D87328	P50747
U55054	Q9UP95
AF047338	Q9UP95
AL136860	Q8IZP1
AF151867	Q9Y3B3
BC002934	Q9BU27
AF095192	O95816
U63743	Q99661
D86962	Q13322
AF000017	Q13322
U61500	P48553
AF083810	Q9UM11
BC001356	P80217
BC003615	Q13769
AB023200	Q13769
M59916	P17405
U04045	P43246
AL109965	A0A087WUQ5
AL109965	A0A087WVB8
AL109965	A0A0A0MT13
AL109965	B0QYY0
AL109965	B0QZ19
AL109965	F8WCQ1
AL109965	P57086
AL109965	Q4G141
AL109965	Q5JWZ0
AL109965	Q5JXL1
AL109965	Q96M20
AL109965	Q9BVI0
AL109965	U3KQM1
AY027523	Q9BVI0
AF047020	Q9UHK6
AF064238	P53814
AF112207	Q9UI10
AJ001017	O14981
AF254083	Q9HBE1
AF029674	O43889
U00238	Q06203
AB018305	Q9HCB6
AB051390	Q9HCB6
AL096700	O14829
AL096700	P46019
D38616	P46019
BC001605	P60891
AY009093	Q9BYZ6
AL136710	Q12955
J02639	P05154
BC001851	P52306
AF043290	Q8NF91
BC002439	Q9BUP3
AF196468	Q9Y333
AB050442	Q9NPF4
U59863	Q92844
AF035824	Q9UEU0
M81768	P19634
AF142482	Q71U35
AB033281	Q9UKB1
U16996	Q16690
AF105974	P69905
AF237813	Q9HBH6
BC001648	Q9BV38
U48437	P51693
D50544	Q16514
AB011446	Q96GD4
M57399	P21246
BC002755	Q9BUB5
AB017498	O75197
D49958	P51674
L00634	P49354
BC000819	Q6YP21
U87967	P49961
AF106069	Q9Y4E8
AL080080	Q9H3N1
BC000738	P50402
U95006	A8MT69
M16276	Q30155
AF226044	Q9NRH2
BC001430	O75817
AF255793	Q96IY1
AF201941	Q96IY1
BC004546	Q9NQZ2
D84109	Q93062
AF020543	Q9UMR5
BC003679	P56385
AF338650	O15018
AF022655	Q9BV73
BC000069	Q99969
BC003503	Q9BQ04
X16354	P13688
AF114012	O75888
AF035309	P62195
AF081583	Q9UF11
BC004154	P10589
BC005264	P35244
AF005774	O15519
BC000325	Q9H3H5
AF064801	Q8WU17
BC003582	P61218
BC004331	Q6YN16
U38654	P51159
U50383	Q6GMV2
AB020982	Q9UBL3
BC001450	Q09161
AF286598	Q4VCS5
BC000723	P43155
AK001618	B3KMD8
AK001280	Q9Y3E1
AB029156	Q9Y3E1
BC000747	Q13868
AL137394	Q9Y4R8
AF047760	O43688
U07139	P54284
BC001453	O43708
AF083395	Q9Y263
AF145020	Q9Y263
AF127481	Q12802
AF320070	Q9UNF1
AF000416	Q9UBQ6
U69645	P17041
D25304	Q15052
M29644	Q9NP10
M81104	P28906
AF027706	O43353
AF064824	O43353
AF323540	O14791
BC001121	Q9BVK7
U35139	Q99608
BC004875	Q9BSR8
BC001060	Q06710
BC001001	Q8N3P4
M98399	P16671
AB011179	Q9UBB6
AB018740	Q9UBB6
AB013384	O75146
U15979	P80370
L38969	P49746
BC000454	P62158
BC000832	O15541
BC001811	Q15050
AF186779	Q9NZL6
BC001745	P42857
U03644	Q86X95
AF080227	O75530
BC001903	Q08334
AL049933	P63096
BC000351	Q99447
AF114784	O95243
BC001387	P53816
AF063591	P41217
AF165520	Q9NRW3
AF084943	Q9UNW1
AF123539	Q86TP1
U70370	P78337
AF025304	P29323
AL157414	B1AKZ9
AL157414	B1AL00
AL157414	H0Y4B5
AL157414	P18075
M60316	P18075
BC001264	P61962
AF317129	O14657
M34421	Q00887
BC001771	P13984
AF245505	Q9NR99
AF286487	Q9UL42
AB020690	Q9UL42
S69189	Q15067
BC003070	P23771
D87292	Q16762
L06633	O60759
BC000408	Q9BWD1
BC004517	Q9BYD2
AB026689	Q9P2X2
M24317	P00325
M21692	P00325
AF153821	P00325
U51120	Q13153
S73751	P23141
AF035302	Q9UQB3
U96136	Q9UQB3
K01144	P04233
AB005289	O75027
AF002280	Q53GG5
AB020739	O75716
AB050049	Q9HCC0
BC004100	Q14442
AY008372	Q9H4L5
AK023289	Q9NPJ8
AF201942	Q9NPJ8
U87460	O15354
AL389975	Q06190
BC003561	P61966
BC002844	Q00653
AF030110	O14924
AF030111	O14924
M79462	P29590
AF009670	O15438
AF043294	O43683
AF033850	O14939
U38945	Q8N726
BC001619	P30837
AL136896	O75159
AL133600	O75886
BC001292	Q8WUA7
BC001830	O43294
BC001422	P49763
U93240	O00629
BC004902	Q9Y2F5
AL136550	Q9BQJ4
M65217	Q03933
AF164598	Q13042
AF162690	P02766
BC001211	Q9BVG8
BC005383	O15182
AF072132	Q13683
AF040704	O14569
AF080157	O15111
D50579	O00748
BC003049	Q8NC51
AL136892	Q9NXC5
D83702	Q16526
BC004242	Q9BTB7
J03225	P10646
L18964	P41743
BC003379	Q7L5E9
BC000712	Q9BW19
AF153330	O60779
U26710	Q13191
AL136924	Q8WYP3
M13975	P05771
BC001766	P04271
U19495	P48061
BC003541	Q8TEW6
U71207	O00167
AF116574	O75129
M97655	Q03393
BC003105	O75365
D26054	P09467
BC004864	P48454
AF216493	Q8TD31
U05598	P52895
AB042555	Q5VU43
D16217	P20810
U79260	Q99770
BC004492	Q9H8H3
AF247704	Q99801
AF022913	Q92643
AY007239	Q6UVY6
AL022313	A0A0D9SGB5
AL022313	B0QYA2
AL022313	B0QYA4
AL022313	B0QYA5
AL022313	B0QYA6
AL022313	B0QYA8
AL022313	F8WDN2
AL022313	M0QXH0
AL022313	O15371
AL022313	Q8IWF2
AL022313	Q99757
AL022313	Q9Y698
AL022313	A0A0D9SGB5
AL022313	B0QYA2
AL022313	B0QYA4
AL022313	B0QYA5
AL022313	B0QYA6
AL022313	B0QYA8
AL022313	F8WDN2
AL022313	M0QXH0
AL022313	O15371
AL022313	Q8IWF2
AL022313	Q99757
AL022313	Q9Y698
U07139	P54284
AB014600	O75182
D31840	P54259
U29343	O75330
AB044343	Q9NTN3
AF213033	Q16667
L07515	P45973
M37435	P09603
AF008915	O60447
U19556	P29508
BC005224	P29508
BC002857	Q0D2I5
L40378	P50453
BC002538	P50453
AF072718	O75691
AB018195	O75493
M76477	P17900
BC005312	P13762
BC001782	Q99501
U38276	Q13275
U79718	P78549
BC005254	Q92478
AL034399	A6PVI4
AL034399	Q9BXU2
AL034399	Q9UJV3
BC001604	Q9BV52
AF098951	Q9UNQ0
AF116571	Q9UN79
AB014605	Q86UL8
M31125	Q00889
U03886	P41247
AF119814	Q9BY12
AF020768	P10916
AB056663	Q96J02
AK024291	Q99807
AF032900	Q99807
J03241	P10600
AB029006	Q9UBP0
AF291676	P0DI82
AF172331	P05451
AF113682	Q9P1N8
AF288395	Q9BZQ4
BC002712	P04198
U37283	Q13361
BC002746	P42126
AL136932	A2VDJ0
AF280094	Q9HB58
AL049176	Q9BU40
AL022312	B0QY92
AL022312	B0QY93
AL022312	B0QY94
AL022312	B0QY95
AL022312	F8WFE7
AL022312	P18848
AL022312	Q09327
AL022312	Q15750
AL022312	Q86WX3
AL022312	Q9NQG6
AL022312	Q9P0X4
Y13786	Q9H013
AF118073	Q9UHU0
L20860	P13224
U90552	O00481
X69397	P25063
BC001886	P31350
M57731	P19875
U15939	P41440
AF004354	P41440
AF007217	Q15643
AF255792	Q9H2M6
AL136883	Q8N3S3
AF069681	O75525
U79283	Q10586
D28468	Q10586
AF029778	Q9Y219
AF065214	Q9UP65
BC001282	O00479
AF183569	Q9NZ08
BC000305	P55212
AL049569	A0A087WU09
AL049569	A0A087WUM9
AL049569	A0A087WW81
AL049569	A0A087WWT1
AL049569	A0A087WXX8
AL049569	B1AKD8
AL049569	H0Y8I1
AL049569	H0Y8V5
AL049569	H0Y8Z6
AL049569	H0Y953
AL049569	H0Y9K0
AL049569	H0Y9K4
AL049569	H0YAI7
AL049569	P21912
AL049569	P55001
AL049569	Q5TZA2
AL049569	Q9NQ11
AL049569	Q9Y2J8
BC002710	O43240
AB007871	O43295
L07555	Q07108
BC001027	Q9Y2B0
D83243	Q14207
AF100763	Q13131
AF061812	P08779
BC005034	Q53GA4
AF001294	Q53GA4
D42045	Q6PJP8
U14658	P54278
BC000893	O60814
U18759	Q14938
J02761	P07988
BC002427	P42575
U13021	P42575
BC004421	Q9Y3S2
M29550	P16298
AF241831	Q5JVS0
AB024518	O95760
L22431	P98155
M17955	Q30091
AB000812	O00327
BC002906	Q9BZX2
AF020544	Q9UMR5
M90391	Q14005
AB002384	Q9Y4F9
AF035771	Q15599
AB004574	O00115
AF321125	Q9H211
U79115	P78560
AB017915	Q7LGC8
AF060511	Q9H3K6
AF155158	O00189
AL136712	Q9UQ16
AL442092	Q9H3W5
BC002824	P56693
U57052	Q92826
AF117233	Q9UHC7
BC002832	P78410
U07969	Q12864
U01874	P40967
AF029669	O43502
AL136745	Q5T200
BC001423	P61289
BC002684	P61289
AF188747	P20151
U31089	Q9NYB9
AF245447	Q9NRA0
BC002877	Q53F39
AF220036	Q9C026
J04543	P20073
U13261	P50579
BC001233	Q86XR8
AF091627	Q9H3D4
AB045118	O75474
BC005136	Q9Y2D2
AF307080	Q9HAR2
D28482	P29558
AF284095	P08913
AB014719	Q99767
AF053719	Q9Y446
AF216962	Q9H8M5
M83248	P10451
AF124491	Q14161
AF010126	O76070
M62399	Q04206
U02297	Q14242
AF036905	O43561
AF084462	Q92963
AF288389	Q8IYK4
AF047033	Q9Y6M7
BC001338	O00212
AF035528	O43541
M20643	P05976
AF274863	Q9NQW1
AF065389	P62079
AF225416	Q9HBM1
M58596	P22083
U50748	P48357
AF119855	Q9P191
AF055585	O94813
U61167	Q9NZM3
AF217197	Q9UHX1
AL162079	P53985
U19713	P55008
U49844	Q13535
AF020769	P63316
U62027	Q16581
AF182198	Q9NZM3
M19154	P61812
M31659	P16260
BC002842	P58876
AB007875	O43299
AB035356	Q9ULB1
BC002477	Q96HY7
J05235	P19440
L20490	P19440
U20165	Q13873
AB040875	Q9BYH2
AF035620	Q7Z569
AB000221	P55774
U53823	Q16625
BC004449	Q96FH0
AF261137	Q9Y3Y2
AF060154	O60682
AF091453	Q9Y6K9
L13974	Q16621
AF322070	P68106
U90223	P33316
AF020314	Q9UGN4
AF225981	P98194
AF107493	P52756
BC001386	P48230
AF064094	O75478
AF005775	O15519
AF083068	Q9Y6F1
U50062	Q13546
BC000340	P43357
AF176699	Q9UKA2
BC000330	Q86VK4
BC000251	P49841
U58111	P49767
BC003170	Q14157
U61536	Q16558
BC001606	P19878
BC004300	O15195
AF006689	O14733
U63131	Q16543
AF343880	Q15532
U76833	Q12884
U23460	Q13554
M30262	P01160
AF095771	Q3SYG4
U12767	Q92570
X16323	P14210
M60718	P14210
M34986	P19235
AF032105	O15265
AB016223	O75771
AF094518	P62508
D14826	Q03060
U63041	P13591
BC002704	P42224
M87507	P29466
AF116615	Q13155
AF097419	Q9UBC1
AF047473	O43684
AF182276	P05181
M74220	P00747
AF001042	P78563
L23928	P34896
AL023553	A2A274
AL023553	E7ERZ2
AL023553	F8WDS5
AL023553	F8WDV1
AL023553	F8WFD5
AL023553	H7C4E7
AL023553	Q6ICB0
AL023553	Q92871
AL023553	Q99798
AL023553	Q9Y534
AL023553	Q9Y535
AB035266	Q9P2S2
AB037901	Q9H3R0
BC002341	P50553
BC001638	P50553
AF317549	Q14587
AF056085	O75899
AF069755	O75899
AB044805	O60825
AF016535	P08183
BC003574	P56279
BC000453	Q15154
BC001030	Q8TEQ8
U88326	O15524
AB005043	O15524
D87811	Q92908
AF035776	P78380
D32051	Q15374
BC002571	Q9BUJ0
U36310	P43304
AF229796	O14653
U25147	P53007
BC000527	Q01844
BC005395	Q9BS19
AF023266	O43837
U89330	P11137
AB026118	Q9UDY8
M58026	P27482
BC004877	P22674
BC004952	Q9BSM1
AB017644	Q969T4
AY028896	Q9BWT7
M80261	P27695
AF125507	Q9UBD5
M34455	P14902
BC002817	Q9BU89
J04132	P20963
AF079363	O75602
AB044806	Q12809
L24553	P35228
AL137145	A0A087X0I9
AL137145	Q04759
L01087	Q04759
AF208159	Q9H2X9
BC001258	O95394
AF073890	Q9UBR2
AF334946	Q9BZ67
BC002796	P12980
U52144	Q13584
AF064484	P49281
BC001889	Q99747
D29832	P01008
M10036	P60174
U78168	O95398
AF098158	Q9ULW0
BC003648	Q68CZ6
U32581	Q96Q15
BC000433	O15264
M36476	P18545
AF114817	Q86UQ0
AF162428	Q9UL12
AB002155	O75841
D63412	P55087
U63622	P55087
U62733	Q92523
U88321	Q99731
L32867	Q92185
AF070448	O60911
AF151074	Q9P0N8
AF151813	Q8NC51
U30884	Q13243
L39833	Q14722
U16953	Q14722
D00306	P09093
AB036432	Q15109
U88667	P78363
AF071542	O75326
AF206665	Q15661
AF230929	O76027
AF039196	O43593
AF095727	O95297
M36172	P12829
BC004241	Q16363
AF193421	Q7LC44
U46745	Q9Y4J8
AF067173	P61326
AF196186	Q8TEW0
M31159	P17936
J02871	P13584
AF327657	Q9BZC7
AF257318	Q9Y371
BC001234	O00534
AB028021	Q9Y261
AF074723	O75586
M14333	P06241
U43559	Q92781
AF127036	A8K7I4
AF191492	Q9HBX3
AF132363	P31942
AF277175	Q9BZS9
U96721	Q92902
AF310105	Q9C000
AF039217	Q9Y283
L05096	Q96EH5
AF072930	O60880
AF311312	Q07617
M15329	P01583
U73191	Q99712
BC004349	Q9H6Z4
AF288390	O43825
BC005303	P04554
U62436	P36544
AL136552	O95754
AF044773	O75531
M94890	Q00887
BC002510	Q9NRW1
U41070	Q15722
AF078842	Q9Y4R7
AF096304	O76062
D49737	Q99643
D49372	P51671
AF022654	O60902
BC001286	P32321
AF074979	O76081
L03203	Q01453
AF031824	O76096
M13981	P05111
AF117234	O75955
AF196478	Q9UJ72
M68874	P47712
AF004231	A2IXV5
U47054	Q13508
AF305239	Q9H422
AF061735	O75947
AF186773	O43781
M55905	P23368
D88214	Q99972
D25547	P22061
U64315	Q92889
AF230386	Q9BZY9
BC000398	P68402
U08015	O95644
AF030514	O14625
J03189	P10144
M55983	P24855
AF051151	O60602
U06935	Q10587
J05064	P13671
AB007880	O43304
BC001017	Q53GG5
S68134	Q03060
D26121	Q14820
D37781	Q12913
BC000853	Q9BVX3
AL050262	Q15399
U34249	Q9C019
AF047448	O75494
AJ007557	O60928
U87836	P62995
AF169148	Q9NZU7
AB000263	O00230
AF112222	Q9H307
M81695	P20702
AB054985	Q02641
BC005147	P62942
D13318	Q06546
D85730	P34931
AF071504	O75558
BC002447	Q9UMS5
AB013452	Q9Y2Q0
D28114	Q13875
U17033	Q13018
M34715	P11464
M33663	P11464
BC003622	Q13572
BC002665	P60201
U66584	P02489
BC000108	O00308
AF001383	O00499
U87558	O00499
U71268	O95628
AB026730	O96024
U33833	Q96FC9
BC003133	P46379
AF028832	O75322
BC002600	P56277
AF022229	P56537
U25110	Q13873
AF067864	Q9UP52
AF084513	O60671
U36501	P23497
L37882	Q14332
BC000513	P32297
BC000314	Q16799
AF010446	Q95460
AF031469	Q95460
D85245	P22736
AF119817	Q9P1A6
M11734	P04141
D45198	Q01105
M35543	P60953
AF167343	Q9NPH3
U92457	Q14833
U22815	Q13136
AF120274	Q5T4W7
U90304	P78411
U20498	P55273
AB007458	Q9Y2A0
AF249277	Q9HBF5
AF038661	O60512
U19970	P49913
L78207	Q09428
D83175	O00755
U59302	Q15788
AF067854	P30566
AF112221	Q7L099
AB002356	Q8WXG6
AF092095	Q9BUP3
L35848	Q96HJ5
U84138	O15315
U78576	Q99755
AF212995	Q13620
AF030107	O14921
AF254115	Q92988
BC005352	O95379
AF004711	O95069
M25532	P16562
AF029780	Q9H3M0
AF089087	Q9HC97
AF220137	Q9UPN9
BC001265	Q6P499
AF332009	Q12986
M99578	Q02040
AB021742	Q15784
M29873	Q14097
AB006757	O60245
BC002455	P43361
AF062347	O76080
AF281030	Q9H2D6
AF155159	Q9Y587
AF261135	Q14330
D10537	P25189
AL136621	Q9UBW7
BC005295	Q9H074
AF241230	Q9NYJ8
BC000383	Q15007
AF053755	Q9Y6M7
U01134	P17948
AF081675	Q96E93
AB013094	Q9UHE5
BC001161	Q15697
AF332218	Q9BZA7
BC005032	Q15437
AF067286	O15533
BC004105	P43363
BC005375	P28328
U22178	P08118
AF098518	Q13642
AF063002	Q13642
AF152863	O75628
U06117	P47989
AF262032	Q9Y586
BC000249	P35913
AB042557	Q5VU43
U89358	Q9Y468
AL136796	Q9H0H3
AB042823	O94762
AB016517	P12034
AF171928	P12034
BC002640	Q8IY31
AF041261	P59901
AF114013	O75888
AF077737	Q92777
U43143	P35916
U28936	P62258
J03912	P10745
D89377	P35548
AF077033	Q9Y2R4
M36118	P20718
AF000995	O14607
AB033823	Q9UIF3
M17263	P07360
M28825	P06126
D13368	P21549
AF101477	Q14749
U58331	Q92629
AB048365	Q76N89
M55040	P22303
U76388	Q13285
AB028869	O15392
AF056209	O75901
AF055078	P28698
U18197	P53396
AB034951	P11142
BC005196	P20151
BC002635	P15509
AB020642	Q01538
M17755	P07202
AF124373	Q4U2R8
AF323729	Q9BZF2
AF257737	Q9NYC9
AF212224	Q9NRL6
AF080216	Q9H165
AF176379	O43236
L24959	Q16566
AF044076	Q9UK53
AL136823	Q9H0E9
M65105	P23975
J03580	P12272
BC002807	P11836
BC000669	Q9NWM0
BC002557	P23769
AF116674	Q9P1G0
AF256223	Q15723
AF230409	P29590
AF107028	O60939
U87555	O60939
D43967	Q01196
AB026257	Q9Y6L6
AF010316	O14684
AB002325	Q9Y5G5
AF244129	Q9HBG7
BC003092	Q09028
AF208012	Q16890
AF040708	Q8WTW4
D38300	P43115
X83858	P43115
M25269	P19419
D16350	Q53FZ2
AF162666	Q9UKI8
AF126966	O43497
BC000740	P32239
U13989	P47872
AF225985	P35498
U79286	P55345
AF106037	Q9NZ08
BC001906	Q13505
BC001131	P62807
BC000939	Q9BVT6
BC000258	Q9UJT1
AF031587	Q16663
X99975	Q15406
U80802	Q15406
AF062006	O75473
BC005325	O60224
AF116676	P12829
U73945	P60022
M98825	P51993
U27336	P51993
L76224	Q14957
U45448	P51575
U03884	P48048
U12543	P48048
AF078803	Q13554
AF153687	O14763
AL136727	Q9H0N0
AF070670	P35813
AB009288	O95741
AB016898	Q9Y6Z5
AF034759	O43196
U90278	Q13224
U11287	Q13224
U19557	P48594
AF169675	Q9NZU1
AF053970	Q5BJF6
BC004207	O96017
U81802	Q9UBF8
AF023265	O43837
AF031924	Q9UMQ3
AB014602	O60721
D50402	P49279
L32185	P49279
AF163441	A8MQT2
AF164622	A8MQT2
U04897	P35398
BC001388	P07355
AF260566	O14964
X63097	Q02161
L08429	Q02161
J04948	P10696
AF225986	Q9C007
BC000582	Q9H488
AF151056	O76095
BC000924	Q9BVU5
BC002351	P43362
M25077	P10155
AB023135	Q9Y6W8
AF064102	Q9UNH5
AB012701	Q01638
AF172452	Q9NZT2
U59431	Q99463
U19869	P51161
M30601	P15976
BC005111	Q9BSD0
U49396	Q93086
AF100544	Q16539
M15465	P30613
D26480	P78329
AL050277	O75964
U24660	P48051
AF050198	Q7Z5L2
AF148464	Q9Y5K3
AF176039	P17096
BC003388	Q92844
AB033605	P55036
BC002448	O14639
AF288161	Q9H2G9
BC002492	Q9NXH9
AL080200	Q9Y4M8
U71300	Q92966
BC002488	Q8NC51
BC003408	P43365
BC003129	Q15233
U33428	Q14722
M37712	P21127
U04819	Q9UQ88
L26494	Q03052
AF166329	P16471
U34822	P45983
L14611	P35398
U90236	Q9UM54
AF245219	Q9H2X3
U71087	Q13163
BC005043	Q9BSH9
AL136618	Q9P2S6
M11722	P04053
AF119888	Q9P159
BC001279	O75121
AF130095	Q9H382
AF210651	Q9HD86
BC002818	Q16385
AF130062	Q9H3B0
AB041834	O60828
AF042386	Q9UNP9
BC004479	P43364
U65404	Q13351
U07821	P40394
U11282	Q11130
D82346	O43526
AF145712	O14786
M13436	P08476
AF022375	P15692
AF091352	P15692
AF226990	Q9MYA2
M57732	P20823
AF214738	Q9NZB2
AB003476	Q02952
AB035305	P55286
AB017551	Q9UGM5
D89675	O00238
AF078844	P04733
BC001787	Q9BUY7
L11645	Q13748
AF010447	Q95460
BC000609	Q9Y4C2
M21985	P13056
AF116639	P56378
AF104243	O15457
BC002944	Q9UPM9
S67798	P38567
BC001172	O75478
U37546	Q13489
AK024259	Q6EMB2
BC004523	O60513
AF230394	P14373
BC000585	Q9UIG8
U34994	P78527
BC002430	P51648
AF182199	Q9NZM3
U87459	P78358
L21181	Q05084
U58913	P55773
L26584	Q13972
BC001620	P46597
AF221098	Q5JS13
D28514	P29122
BC002486	P56545
U85430	Q12968
M76453	P09603
AB045829	P17516
D88357	P06493
AF118452	P52951
AL110243	Q9Y6I7
AF245389	Q4ZG55
U97075	O15519
AF009619	O15519
U03469	P47871
BC001441	Q13309
BC001052	P46063
AF247180	Q9Y336
U35002	P45984
AF074480	Q9Y471
BC003126	Q9Y5H9
BC004424	Q9BT08
AF241788	Q9H2R7
AF133298	P98187
U20760	P41180
AF220122	Q9UDY6
L25275	P0DMM9
AL117466	P53671
AB055760	Q9BY77
AF007748	O14787
AF312679	Q9H248
BC005161	P58166
L32610	P31942
D13287	P04062
M55580	P21673
AF239756	O95297
AF130104	Q9H375
K03206	P04280
AF130051	Q9H3C0
BC004930	Q8N883
U33054	P32298
BC000019	P55285
BC004552	Q9BSU3
BC000233	P19087
BC003610	Q08431
U30610	Q13241
U03858	P49771
BC000474	Q53FA7
M69176	P13688
U26744	Q9Y4J8
AF318616	O15056
BC000731	O43759
U21938	P49638
AF280547	Q9H2E1
AB020712	O94979
U87284	P78562
AB007943	P47736
AF173154	Q12794
BC000212	Q8WUA4
M23612	P20936
AF153430	Q9UHL7
BC001372	Q04323
BC000109	A1L0T0
U34074	Q92667
AF051344	Q8N2S1
AF000425	O00453
AF125949	P43351
D42072	P21359
L35853	Q16586
M19156	P13645
BC005253	Q9BS75
BC002715	Q03181
M81797	P25103
AF176704	Q9UK97
AF293841	Q9H1Y0
U63917	Q99527
AB038463	O14815
AF333334	Q13939
AF053712	O14788
AF109683	Q6GTX8
D83077	P53804
BC001675	P40429
AF102988	O60733
AB047360	O60493
AF231056	O14497
BC001304	Q9Y6V0
L41939	P29323
BC004399	Q5SRH9
M55575	P21953
AF021233	Q9UBN6
AF041336	Q9UPC2
AF099032	O75530
U88870	O43236
BC000284	Q9UJY4
U79526	Q99788
AF025529	O75019
U93917	O75311
BC000879	Q16719
AF021834	P10646
AF050145	O60597
D86062	P30042
M61156	P05549
M15788	P01298
U35004	P45983
BC004185	Q9BTE2
D50740	P43699
